,author,date,comment
0,Jimmy Lewis,"11/27/2022, 01:10 PM","""This starter kit is the best investment in vaping you will ever make! The battery lasts forever and has a lot of power, plus it also comes with a USB charger so you never have to worry about having to find an outlet. It also comes with a portable case which allows you to vape around town. Another great thing is that this kit comes with two different pods."""
1,Kathryn Thompson,"10/31/2022, 03:25 PM","""I noticed a sort of shift in my mood and productivity when I started using this kit. I find that this small tool is perfect coming to work with me when I am rushing around because it helps you relax while doing great things."""
2,Judy White,"10/22/2022, 12:08 PM","""I have loved the STIIIZY Starter Kit, it has helped me to keep my vape on all day! The kit comes with a 210mAh rechargeable battery and a USB charging port. I also love that it is super discreet which is perfect for when I need to hide from people who don't approve of vaping."""
3,John Wright,"10/05/2022, 05:13 PM","""I enjoy my starter kit and have been using it on a daily basis. It is really easy to carry around and the juices are very good."""
4,Douglas Powell,"10/04/2022, 10:23 AM","""This product is amazing. It has helped me take care of my anxiety, and it is easy to use. I can carry this around with me because the battery life lasts a whole day."""
5,Margaret Thomas,"09/26/2022, 11:08 AM","""Stiiiizy is a vape that I have been using for the past few months and it has become one of my favorite e-cigarrette's. I love the different effects and flavors they offer, and they are always on sale. It's like vaping an herb instead of oil."""
6,Ronald Phillips,"09/25/2022, 07:28 PM","""I love this battery. I have the classic STIIIZY and the new Champion (with the dimmable lights) while using it with a not-yet-released device called Froggytunes which can magnetically attach to any device. The added battery life has made a world of difference for me."""
7,Lois Bryant,"09/16/2022, 11:26 AM","""So far I have been very satisfied with this kit. I had never seen a battery and charger for the price of $16 before and was pleasantly surprised. It has been exactly what I needed, which is convenient because now I am vape-happy!"""
8,Carolyn Jackson,"09/08/2022, 07:12 PM","""As a new marijuana user, I was initially wary of carrying around an expensive piece of hardware. The battery comes in an attractive package that displays all the necessary information about it, and it's sleek design is perfect for anyone who enjoys their smoking devices to be understated."""
9,Jeremy Bell,"08/29/2022, 08:04 PM","""I never knew the world of vaping existed and it is amazing, I just discovered vaping about a month ago. After doing some research and reading reviews online, I decided to buy the STIIIZY Starter Kit- Gold. In my opinion it is perfect for beginners who are new to vape mods and also need something that looks really professional. I am in love with my vape now!"""
